08-23 22:03:32.487 13624 13624 W Looper  : Slow Looper main: Activity com.android.todolist/.MainActivity is 432ms late (wall=0ms running=0ms ClientTransaction{ callbacks=[android.app.servertransaction.TopResumedActivityChangeItem] }) because of 2 msg, msg 1 took 412ms (seq=2 running=279ms runnable=36ms io=62ms late=2ms h=android.app.ActivityThread$H w=110), msg 2 took 270ms (seq=3 running=215ms runnable=12ms io=15ms late=162ms h=android.app.ActivityThread$H w=159)
08-23 22:46:59.533  1610  2696 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:59.590  1610  2696 D PerfShielderService: com.android.todolist|com.android.todolist/com.android.todolist.MainActivity|342|285195298540263|56|5|17
08-23 22:46:59.591  4187 30394 W MiuiPerfServiceClient: interceptAndQueuing:13624|com.android.todolist|342|56|unknown|null|com.android.todolist/com.android.todolist.MainActivity|285195298540263|Slow issue draw commands|17
08-23 22:47:01.568  1610  2696 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@afcf271
08-23 22:47:06.598  1610  2696 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:47:09.073  1610  2534 D PerfShielderService: com.android.todolist|com.android.todolist/com.android.todolist.MainActivity|258|285204967398072|53|5|12
08-23 22:47:09.073  4187 30394 W MiuiPerfServiceClient: interceptAndQueuing:13624|com.android.todolist|258|53|unknown|null|com.android.todolist/com.android.todolist.MainActivity|285204967398072|Slow issue draw commands|12
08-23 22:47:19.432  1610  1663 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:47:21.137  1610  1663 D PerfShielderService: com.android.todolist|com.android.todolist/com.android.todolist.MainActivity|246|285217611014942|55|5|10
08-23 22:47:21.140  4187  4237 W MiuiPerfServiceClient: interceptAndQueuing:13624|com.android.todolist|246|55|unknown|null|com.android.todolist/com.android.todolist.MainActivity|285217611014942|Slow issue draw commands|10
08-23 22:48:49.857  1610  4286 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:48:50.080  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{5d73d04 u0 com.android.todolist/.MainActivity t19237} time:285308030
08-23 22:48:51.236  1610  4203 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:48:51.756  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{9d8772a u0 com.android.todolist/.MainActivity t19237} time:285309705
08-23 22:51:52.649  1610  1729 V AppStateTracker: Package com.android.todolist/10010 toggled into fg service restriction
08-23 22:51:52.650  1610  1729 V AppStateTracker: Package com.android.todolist/10010 toggled into fg service restriction
08-23 23:09:48.873  1610  4203 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.android.todolist/.MainActivity bnds=[76,1065][244,1233] (has extras)} from uid 10060
08-23 23:09:48.900  1610  4203 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 13624
08-23 23:09:49.246  1610  4203 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 23:09:49.365  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{3e3fa88 u0 com.android.todolist/.MainActivity t19238} time:286567314
08-23 23:09:51.563  1610  4266 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.ListActivity (has extras)} from uid 10010
08-23 23:09:51.580  1610  4266 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 13624
08-23 23:09:51.724  1610  3084 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 23:09:52.256  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{339a5eb u0 com.android.todolist/.ListActivity t19238} time:286570205
08-23 23:09:53.575  1610  3084 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@c6fd343
08-23 23:09:56.021  1610  3082 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 23:09:57.166  1610  4266 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 23:09:58.195  1610  4266 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 23:09:59.106  1610  3082 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 23:09:59.970  1610  3082 I MiuiKnockGestureService: focus window:com.android.todolist
